id,title,is_paid,num_subscribers,avg_rating,num_reviews,num_published_lectures,num_published_practice_tests,created,discount_price_amount,price_detail_amount,published_time_year,published_time_month,category
3342002,C++ Programming For Humans!,True,13781,4.55556,36,54,0,2020-07,455.0,6080.0,2020,9,['c++']
2993624,Python for Everybody: The Ultimate Python 3 Bootcamp,True,338,4.56522,47,94,0,2020-04,455.0,8640.0,2020,5,['python']
17492,Introduction to SQL Training,True,305,4.55,15,55,0,2012-05,0.0,3200.0,2012,5,['sql']
1631442,Accounting 101: Understanding & Analyzing Balance Sheets,True,424,3.85,43,15,0,2018-04,455.0,1280.0,2018,4,[]
764518,The Complete Guide To Update To ISO 9001:2015,True,50,4.65,11,15,0,2016-02,0.0,2880.0,2018,1,[]
469454,Cold Email Recruiter Training: Write Powerful Cold Emails,True,1435,4.25,288,53,0,2015-04,455.0,8640.0,2015,5,[]
1619616,C++11  Intermediate,True,26,3.5,3,51,0,2018-03,455.0,8640.0,2018,5,[]
1282164,Serverless Data Analysis with Big Query on Google's Cloud,True,725,3.9,115,42,0,2017-07,455.0,3200.0,2017,8,[]
1077806,Learn Ethereum Blockchain & Smart Contracts within 1 Hour,True,383,2.85,87,7,0,2017-01,455.0,8320.0,2017,1,"['ethereum', 'blockchain']"
995908,How to be Financially Free,True,8,3.25,2,32,0,2016-10,455.0,1280.0,2016,12,[]
2216292,The Fundamentals of Project Management,True,26,4.33333,6,60,0,2019-02,455.0,6400.0,2019,2,[]
1500202,Forex Trading per tutti: corso completo con esempi pratici,True,3148,4.17045,755,50,0,2018-01,455.0,8640.0,2018,1,[]
2217610,Software Development Fundamentals (MS 98-361) practice exams,True,28,3.0,7,0,4,2019-02,455.0,2240.0,2019,2,[]
2235932,Gann Box Trading Ninja: Advance DIY Technical Analysis tool,True,3832,2.9,37,15,0,2019-02,455.0,1280.0,2019,3,[]
2339600,Business Analytics: Drive Business Growth with Data Analysis,True,5477,4.5,110,10,0,2019-04,455.0,8640.0,2019,4,[]
2620314,Curso Básico Declaración Anual Para Personas Físicas,True,25,4.1,5,21,0,2019-10,455.0,5440.0,2020,1,[]
2369328,Developing a business strategy using a Value Chain concept,True,28,3.9,14,13,0,2019-05,455.0,1280.0,2019,9,[]
3134564,Unity 2D Game Developer Course Farming RPG,True,963,4.69643,57,98,0,2020-05,455.0,2240.0,2020,8,['unity']
1719508,Curso Completo de Educação Financeira,True,6185,4.53514,1790,97,0,2018-05,455.0,8640.0,2018,6,[]
1934462,A Beginner's Guide to Augmented Reality with Unity,True,6123,4.5,727,55,0,2018-09,455.0,1280.0,2018,10,['unity']
3015554,Oracle 1Z0-208 Billing Revenue Management Develope Exam,True,1051,3.5,6,0,5,2020-04,455.0,8640.0,2020,4,[]
2634856,Build Ecommerce Website to Master Django and Python,True,395,4.18421,107,36,0,2019-11,455.0,8640.0,2019,11,"['django', 'python']"
1902782,Modern Business Communication Skills & Etiquette – From A-Z,True,27,4.0,7,10,0,2018-09,455.0,6400.0,2019,5,[]
3009886,BCABA Board Certify Assistant Behavior Analyst Practice Exam,True,688,3.125,4,0,5,2020-04,455.0,8640.0,2020,4,[]
543420,Python Tutorial - Learn Python Programming with Examples,True,393,3.7,20,178,0,2015-07,455.0,1280.0,2015,8,['python']
1355282,Data Structure - Part 2,True,3992,4.3,33,36,0,2017-09,455.0,1280.0,2017,9,[]
1511500,Arduino Step By Step: Your Complete Guide,True,19435,4.06,86,142,0,2018-01,455.0,8640.0,2018,1,['arduino']
1117339,Coaching Course: Practical Guide to Quickbooks Online- Basic,True,1,0.0,0,6,0,2017-02,0.0,12800.0,2017,3,['basic']
2694796,Data Analysis Bootcamp™ 21 Real World Case Studies,True,2777,4.4425300000000005,277,129,0,2019-12,455.0,8640.0,2020,1,[]
248612,C Programming Language Demystified,True,965,4.54545,186,148,1,2014-06,0.0,2240.0,2014,7,['c']
525156,SQL Advanced,True,9157,4.39423,1268,82,0,2015-06,455.0,8640.0,2015,11,['sql']
916828,How Hackers Create Undetectable Malware and Viruses,True,29232,3.3,299,16,0,2016-07,455.0,8640.0,2016,8,['malware']
1879550,Google Certification- Associate Cloud Engineer Practice Test,True,139,3.75,39,0,2,2018-08,455.0,1280.0,2018,10,[]
2239198,Tuning Apache Spark: Powerful Big Data Processing Recipes,True,201,4.0,19,84,0,2019-02,455.0,8640.0,2019,2,['processing']
2630174,AWS CLF-C01 Certified Cloud Certification Practice Exam,True,1366,2.95,12,0,5,2019-10,455.0,8640.0,2019,10,[]
64092,Using Your Data to Grow Your Business,True,5050,3.4,11,10,0,2013-07,455.0,1280.0,2013,7,[]
2276171,CFA® Level 1 (2020) - Complete Equity Investments,True,5414,4.63,483,53,0,2019-03,455.0,6400.0,2019,3,[]
3259836,Small Business Finance: 10 Steps to Optimize Your Cash Flow,True,4,4.5,1,12,0,2020-06,455.0,5440.0,2020,7,[]
2659628,A brief introduction to Accounting and Financial Reporting,True,6284,3.85,39,63,0,2019-11,455.0,6720.0,2019,11,[]
2928812,Salesforce Sales Cloud Consultant Practice Tests,True,49,3.83333,6,0,2,2020-03,455.0,1280.0,2020,5,[]
1367810,How to Exit YOUR Business on YOUR Terms,True,86,4.45,35,15,0,2017-10,455.0,6400.0,2017,10,[]
115752,Straight From Business School: Create Financial Statements,True,72,4.35,11,5,0,2013-11,455.0,1280.0,2013,11,[]
391750,Entrepreneurship 101: The Complete Entrepreneurship Course,True,3452,4.5294099999999995,271,73,0,2015-01,455.0,8640.0,2015,2,[]
1911088,Learn Audio processing like engineers do !,True,336,3.0,12,16,0,2018-09,455.0,5120.0,2018,10,['processing']
723814,Selling Design Services For A Living - Method and Case Study,True,1088,4.0,12,19,0,2016-01,455.0,1280.0,2016,1,[]
1192662,Apache Hive Interview Questions Preparation Course,True,264,2.9,18,33,0,2017-04,455.0,6400.0,2017,5,[]
1523180,"Investing 101 - Learn to trade stocks, forex and crypto.",True,26,0.0,0,38,0,2018-01,455.0,8640.0,2018,2,[]
1447840,neural networks transfer learning and sentiment prediction,True,237,3.9,36,26,0,2017-11,455.0,8640.0,2017,11,[]
2395488,React Front To Back,True,20126,4.69223,5322,91,0,2019-06,455.0,7680.0,2019,6,['react']
2567156,CISA Certified Information Systems Auditor Practice Test,True,1807,3.25,4,0,4,2019-09,455.0,8640.0,2019,9,[]
1610210,كورس بيتش تري المحاسبي,True,2,0.0,0,9,0,2018-03,455.0,1280.0,2018,3,[]
2958430,IoT Internet of Things Crash Course,True,13355,4.0450800000000005,123,27,0,2020-04,455.0,8640.0,2020,4,[]
3030050,Human Computer Interaction & Machine Learning,True,10754,4.17647,34,22,0,2020-04,455.0,1280.0,2020,7,[]
